state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
JAMMU AND KASHMIR;RAJAURI;135059;221918;105499;181958;6300;55021;1932620;510608;19751;169929;203317;37;273.8338861;19;13753;19746;51;4;36635;30278;6357;11.07;34;3.66;3039.178624;1398.217729;1533.450705;107.51019
JAMMU AND KASHMIR;JAMMU;93332;113384;40795;52848;15102;4561;554026;104984;31687;7330;21390;19;285.8638629;0;5351;5749;4;44;5792;4320;1472;12.59;49;22.37;651.6897945;300.1113178;294.4924567;57.08602
JAMMU AND KASHMIR;KATHUA;73188;102993;47156;70949;15060;7108;684899;182347;47882;19149;50393;20;249.2974324;3;8789;11038;20;22;6475;5754;721;17.76;64;16.71;600.7891781;454.5863891;69.92693902;76.27585
JAMMU AND KASHMIR;KISHTWAR;62382;84515;58371;79535;3164;10375;1674345;74495;2698;13298;15974;23;1334.204504;1;3232;3343;9;0;18820;16780;2040;11.72;21;13.55;1845.641278;993.9156455;790.5667328;61.1589
JAMMU AND KASHMIR;RAMBAN;57086;104879;39160;78459;2358;6154;453311;153491;4170;12497;46121;26;298.7309217;0;5775;8102;32;6;12502;11611;891;1.51;74;19.75;714.3497694;458.525079;196.8354604;58.98923
JAMMU AND KASHMIR;REASI;63178;111308;48102;89020;5886;24920;559410;100236;7328;38505;39649;26;337.6589449;5;3739;5246;208;22;9194;7836;1358;5.4;63;4.53;537.3181076;338.45582;134.3301376;64.53215
JAMMU AND KASHMIR;SAMBA;28433;40719;14782;22584;5652;1233;173554;41401;9716;3381;12599;18;260.67823;1;2209;2663;2;7;1714;1516;198;25.43;45;29.99;195.1429263;107.923394;70.66229232;16.55724
JAMMU AND KASHMIR;BANDIPORA;40578;68963;25978;47494;17;6074;388363;112680;111;14367;35169;30;275.9301349;0;3677;5279;16;12;6233;5339;894;9.79;80;25.44;539.6878393;310.918076;188.2167233;40.55304
JAMMU AND KASHMIR;GANDERBAL;37187;60686;27443;47640;1;10118;538668;143508;0;31026;45264;21;272.0055485;5;6600;8459;12;1;3711;3549;162;5.87;51;25.6;624.4110645;390.3497226;198.6866619;35.37468
JAMMU AND KASHMIR;KULGAM;55355;127012;43788;104937;86;2161;1092066;825980;626;14300;247565;39;248.6285755;79;20723;33839;19;0;8907;7976;931;7.97;27;67.5;2652.688034;2053.622308;530.857956;68.20777
JAMMU AND KASHMIR;SHOPIAN;35854;40334;30987;35230;2;893;1032909;985640;63;24555;102937;41;237.1611694;44;23829;25303;20;0;3545;3241;304;3.62;22;60.49;2708.343424;2337.55535;329.8095741;40.9785
JHARKHAND;RANCHI;319859;496915;173032;290689;15385;127380;3791160;2035274;104286;815482;938416;34;260.6977593;947;58269;72013;181;8;42929;30081;12848;3.32;91;86.06;7756.142121;5305.913714;2177.897307;272.3311
JHARKHAND;LOHARDAGA;90543;187259;55588;122633;5310;77131;1361700;831130;42750;491721;411012;31;254.4956081;261;26286;37897;154;0;28371;15730;12641;5.08;97;64.28;2622.022611;2115.189348;432.537793;74.29547
JHARKHAND;GUMLA;197352;338418;113538;200805;7063;128174;3226117;1684317;51447;946840;734596;36;276.2150855;818;46211;56496;220;0;44977;32354;12623;16.28;94;75.44;6563.62404;4652.337642;1784.422958;126.86344
JHARKHAND;SIMDEGA;165938;276704;100294;172725;15835;113237;2879991;1750541;157610;1044453;806270;37;265.5159834;1228;46496;55847;164;0;31735;18887;12848;7.56;93;76.57;6356.336366;4647.96615;1586.734176;121.63604
JHARKHAND;PALAMU;358654;506919;224681;326079;90173;28537;5400234;2900693;718635;243948;1319148;31;260.4125078;454;90866;111696;405;0;80057;53827;26230;14.5;95;65.32;10338.46039;7553.767386;2494.472399;290.2206
JHARKHAND;LATEHAR;185107;240201;134080;174860;26074;56111;4229910;3166332;453612;868231;1486745;37;256.2438374;483;84129;94896;811;0;57143;25704;31439;51.88;98;39.46;8943.355894;8113.530622;731.7830419;98.04223
JHARKHAND;GARHWA;356697;524704;243195;367067;56146;39233;7378612;4970719;566771;455749;2336301;37;259.7582684;714;133390;167972;252;0;81700;45783;35917;16.86;93;73.33;16108.55028;12911.8536;2994.325549;202.37113
JHARKHAND;WEST SINGHBHUM;322539;486775;159924;245777;6205;174892;3148730;2213311;48243;1528526;1042318;32;265.2996713;792;67869;76131;191;3;50353;32282;18071;7.16;87;87.36;6793.883708;5871.906807;775.368071;146.60883
JHARKHAND;SARAIKELA KHARSAWAN;218169;390702;123451;234487;11942;98678;2980908;2033823;92592;723922;1005593;35;257.9487542;586;57852;73651;215;8;43549;25537;18012;2.09;92;90.49;5945.878715;5246.221092;578.1425326;121.51509
JHARKHAND;EAST SINGHBUM;266362;491217;135134;270187;11648;129876;2404548;1864610;70161;847242;959521;31;257.425215;548;59923;74664;167;46;44541;26730;17811;7.21;93;89.24;6076.393682;4799.976302;1109.62693;166.79045
JHARKHAND;DUMKA;323651;479719;170375;250418;12790;83602;4928382;3329927;154626;901218;1555411;38;257.111701;814;87082;96926;166;0;45423;28791;16632;11.9;94;81.14;10718.02596;8561.631952;2001.592436;154.80157
JHARKHAND;JAMTARA;199800;276603;129175;184389;15153;44839;4437000;2878130;222046;569443;1310027;38;257.3275982;433;75112;84926;125;0;44456;29431;15025;3.39;94;89.07;9875.672477;7406.222802;2363.510645;105.93903
JHARKHAND;SAHEBGANJ;301601;381462;141496;181045;7822;54319;3172050;1823734;72279;529543;880846;33;259.9816986;376;54077;59584;170;3;39594;24201;15393;3.13;90;79.44;6437.18466;4741.374631;1572.160549;123.64948
JHARKHAND;PAKUR;189980;256394;102152;139551;3977;51329;2515633;1552943;32268;497059;750365;34;258.7502349;390;44937;49796;72;0;34685;19213;15472;10.35;97;80.17;5552.715403;4018.24366;1436.459773;98.01197
JHARKHAND;GODDA;273613;412513;145500;221987;11461;45447;3647936;2348185;90371;436913;1077660;38;259.5851634;425;61548;69611;171;1;38901;27137;11764;12.29;91;83.12;9464.389512;6095.53987;3230.492652;138.35699
JHARKHAND;HAZARIBAGH;346182;492934;180857;256662;42632;19518;4586850;3048105;366262;164310;1554154;36;260.4948507;633;84418;95173;284;10;40378;26055;14323;8.48;95;85.91;10225.17479;7940.156569;2103.253437;181.76478
JHARKHAND;CHATRA;209416;257266;150620;186993;51839;7360;4514940;3163493;790298;128120;1586089;35;255.0519376;711;89268;101131;63;1;47350;28032;19318;18.67;94;73.22;9266.397514;8068.550193;1068.802571;129.04475
JHARKHAND;KODERMA;138981;180485;66740;86971;9661;1182;2248717;1075627;91873;19573;556332;32;256.6574314;166;32632;36644;68;4;22487;14632;7855;4.12;90;87.67;3135.849399;2760.67663;315.241509;59.93126
JHARKHAND;GIRIDIH;592370;811493;313905;426454;38149;41671;8538812;5199523;337762;450578;2719061;34;257.9809266;482;151526;164379;697;17;95395;62275;33120;6.78;94;84.94;16448.73023;13413.77761;2751.768726;283.18389
JHARKHAND;BOKARO;340921;510945;150002;235648;32391;41202;3249900;1921353;199653;313301;962110;34;264.5136591;617;55690;64487;191;14;51738;32969;18769;3.33;96;87.5;7238.270068;5082.241124;1992.340604;163.68834
JHARKHAND;DHANBAD;290947;383947;126783;180788;19312;27053;2700194;1953540;162561;303545;954905;31;258.1316462;564;62467;72577;169;2;50557;32020;18537;10.07;94;82.68;5545.249654;5042.704962;360.043722;142.50097
JHARKHAND;DEOGHAR;367448;562770;195256;299890;27951;32176;5006952;3234686;229423;324953;1397323;37;257.4314659;640;86519;96918;379;0;46865;32872;13993;3.31;90;89.04;12334.16219;8327.099586;3846.907409;160.15519
JHARKHAND;RAMGARH;129021;212903;66379;113901;9420;31320;2007900;1308856;79792;336457;607422;45;262.8140145;881;29038;35117;158;26;20129;14029;6100;1.91;94;95.61;5722.088859;3439.856998;2172.265421;109.96644
JHARKHAND;KHUNTI;140523;231267;66775;110494;5189;78679;1642824;877060;39318;596695;385165;39;263.7160922;624;22390;27232;64;0;26253;16822;9431;4.3;97;88.28;3018.675092;2312.948358;647.3658641;58.36087
KARNATAKA;BAGALKOTE;271203;551207;155283;341295;56385;23860;5000000;3378087;513469;246164;1800344;35;298.6486515;635;94366;164642;2081;0;33008;28173;4835;35.37;56;28.92;11570.49165;10088.61127;1344.044422;137.83596
KARNATAKA;BENGALURU;61704;138523;6560;15001;3203;338;100000;34750;5217;589;17973;32;292.1070101;11;1073;1889;3;5;3419;2545;874;8.58;88;47.46;174.1212862;101.507186;58.94930018;13.6648
KARNATAKA;BENGALURU RURAL;117777;257096;61061;142113;25256;7728;1900000;903081;119087;47066;457638;36;306.644271;98;24585;41518;419;0;20232;12054;8178;16.06;71;44.1;3219.084383;2769.246149;420.3775843;29.46065
KARNATAKA;BELAGAVI;811329;1662145;416527;910452;97880;76173;13000000;8212309;791930;806851;4736200;34;303.4494688;1365;236234;352842;2672;0;126161;93729;32432;32.48;66;26.63;32461.75862;24920.20804;7181.831291;359.71929
KARNATAKA;BALLARI;166808;470054;113484;325279;67026;94693;5800000;5120593;997680;1548890;2742828;52;271.912936;1837;97185;212855;2228;0;37082;17076;20006;51.72;61;33.76;17614.45139;13923.55476;3560.08066;130.81597
KARNATAKA;BIDAR;241402;454439;149883;295397;77169;49554;5000000;2775130;669577;496544;1486991;30;310.7114033;111;90589;144213;365;0;53569;47299;6270;35.69;58;29.43;14432.13158;8622.645368;5435.103159;374.38305
KARNATAKA;VIJAYPURA;337688;749512;154512;329854;64751;4352;4000000;2031185;352445;28873;1069926;28;309.9080776;244;71568;111056;1314;1;52227;36301;15926;30.64;74;49.6;9478.242412;6294.806387;2803.741466;379.69456
KARNATAKA;CHAMARAJA NAGARA;220417;507032;128251;299822;83444;31392;2500000;1113652;313124;92909;627359;24;314.1877081;77;45337;72038;372;0;36926;29709;7217;36.25;76;23.13;3680.840826;3498.957696;26.08752;155.79561
KARNATAKA;CHIKKAMAGALURU;176185;397250;93863;230844;42648;8386;2800000;1168888;152816;31707;598834;30;311.6377562;98;37740;68762;121;0;35402;24311;11091;14.95;74;41.23;5371.029933;3642.696335;1488.085168;240.24843
KARNATAKA;CHITRADURGA;326542;770253;177295;428583;92157;87828;4800000;2907400;540305;736589;1562766;32;304.7120726;224;88907;148412;311;0;46099;36237;9862;45.64;60;24.99;9063.831849;8859.198798;66.850841;137.78221
KARNATAKA;DAKSHINA KANNADA;166869;349862;68378;157874;11949;11309;1700000;637740;43790;39893;343058;36;308.0702773;81;17627;29412;65;0;24901;16496;8405;3.41;91;58.16;2407.226453;1964.687387;346.0974266;96.44164
KARNATAKA;DAVANAGERE;234164;510966;118222;274650;60866;39859;3500000;1778759;389917;251052;908328;32;311.539638;231;54544;96027;226;0;29524;25855;3669;32.63;81;34.71;5849.262389;5541.539349;68.5404502;239.18259
KARNATAKA;DHARWAR;167839;402125;85053;224898;17649;12336;2600000;1299375;99395;62253;585652;31;310.7629961;114;40812;72348;164;0;46107;42617;3490;30.88;78;32.04;4377.715489;4037.976681;241.7289483;98.00986
KARNATAKA;GADAG;164651;397972;122114;314321;53019;24255;3200000;3074566;428543;253221;1483020;34;306.5058048;313;89079;189204;1063;0;27007;24644;2363;67.12;68;15.46;9581.008761;9423.723261;76.02176;81.26374
KARNATAKA;KALABURAGI;414588;866569;245680;536004;128815;7434;6200000;3939015;888294;63529;2165473;26;289.0295871;138;150810;261550;694;1;46151;41369;4782;48.16;63;22.38;11820.17899;11384.91879;108.266962;326.99324
KARNATAKA;HASSAN;277345;641586;164839;405786;62115;6613;4600000;2168773;275006;36106;1122541;31;310.2115091;295;68970;123876;371;2;71401;31906;39495;22.65;82;42.68;9057.406028;6727.783453;2067.016974;262.6056
KARNATAKA;HAVERI;268598;614638;153421;375223;53549;42122;4600000;2506257;325812;320849;1182963;33;305.2984678;383;74812;142042;421;0;52146;48943;3203;26.22;72;29.59;7792.794321;7651.564219;75.9551017;65.275
KARNATAKA;KODAGU;86728;188997;30628;72680;7593;3810;700000;198829;17010;8836;102676;29;309.773049;10;6823;11057;76;1;7957;7235;722;18.74;76;26.55;621.9214355;615.9186555;0.0;6.00278
KARNATAKA;KOLAR;235917;571231;134288;335380;86986;21754;4000000;1876790;427313;124646;976867;34;308.3831019;209;54983;87260;283;0;59237;38560;20677;24.84;75;39.86;7851.913449;5787.703218;1852.029461;212.18077
KARNATAKA;KOPPAL;321520;840540;219660;566063;95264;78739;8200000;7313050;1191995;1048389;3823802;41;291.0650277;2349;177798;377852;3535;0;50488;46932;3556;70.45;68;17.25;23870.51581;21285.73101;2388.880239;195.90456
KARNATAKA;MANDYA;345454;749650;148966;363014;40434;2627;2700000;1416104;151639;8483;826448;27;306.9041844;63;51522;79356;309;0;44498;31635;12863;19.04;72;36.17;7156.375681;4346.082431;2704.13682;106.15643
KARNATAKA;MYSURU;338907;833561;153467;392259;70048;42178;2900000;1013345;145462;90182;503637;26;309.5789072;147;38256;67720;120;0;60802;48146;12656;14.85;81;34.68;4356.79793;3137.102377;1056.594653;163.1009
KARNATAKA;RAICHUR;359070;816532;273321;643040;110684;139050;11000000;8663506;1374470;1806576;4501814;40;266.8590815;1559;215862;433091;922;0;57684;41797;15887;51.03;67;20.59;30841.74272;23119.35254;7481.628057;240.76213
KARNATAKA;SHIVAMOGGA;245583;561357;156816;395647;84191;18724;3200000;1492293;320569;84906;809909;22;302.2403833;76;65926;114290;403;0;36740;22153;14587;36.84;80;35.87;7118.820868;4510.312084;2545.167795;63.34099
KARNATAKA;TUMAKURU;397502;884332;211226;503587;72218;36839;4200000;2079329;248488;137463;1051588;29;309.8854377;118;70187;122461;379;0;98120;58933;39187;27.36;82;30.55;10728.35419;6443.537773;3863.489267;421.32715
KARNATAKA;UDUPI;120542;243913;45891;108937;5599;5831;900000;462159;20126;20160;290129;32;314.4716685;102;14168;24104;42;0;21152;16976;4176;9.79;90;57.27;2974.564295;1453.359118;1448.686417;72.51876
KARNATAKA;UTTARA KANNADA;201183;442519;87665;217620;14557;7893;1800000;945320;54597;33907;497563;28;312.8744406;74;33605;56454;97;0;34568;25615;8953;30.59;82;29.16;3655.130807;2957.664662;565.8322154;131.63393
KARNATAKA;CHIKKABALLAPURA;221374;534497;140815;352137;80080;48479;3300000;1520816;295619;185990;788176;29;306.0878808;190;51346;87566;2366;0;45904;38946;6958;21.98;80;43.59;6692.47189;4655.033465;1816.211104;221.22732
KARNATAKA;RAMANAGARA;202628;439547;146643;329080;51609;5576;4200000;1763504;238697;26063;926149;31;313.7172395;167;56367;91526;224;1;113056;52286;60770;19.79;89;31.08;13786.05368;5532.416068;8089.519865;164.11775
KARNATAKA;Yadgir;266555;524929;149609;292381;57829;30931;4800000;2292333;418502;257680;1202844;27;308.2179513;150;84612;131883;371;0;43471;32443;11028;44.65;80;36.24;7102.915879;7065.381809;37.53407;0.0
KARNATAKA;VIJAYANAGARA;244048;633471;169151;448119;111639;90748;6800000;6197836;1417033;1371403;3193908;49;287.6204512;2342;126016;248688;1115;0;42970;29968;13002;62.4;60;9.8;21925.75798;17826.24387;4099.514112;0.0
KERALA;KASARGOD;179905;265225;106072;168803;9920;24401;2787617;1678222;93039;283584;1521555;29;338.2133989;52;57764;64325;81;0;19518;15303;4215;41.95;54;40.99;6406.546846;5675.971667;688.1791287;42.39605
KERALA;KANNUR;275612;390473;130423;196462;8506;13942;3604777;2619138;106992;241372;2450241;34;342.6540148;275;75442;81366;118;0;24683;18825;5858;35.58;48;45.02;9895.749398;8974.58151;875.3052977;45.86259
KERALA;WAYANAD;166945;281058;86651;152800;6873;48577;2593473;1839601;84024;796039;1585235;36;343.8486277;375;50421;57931;79;0;15520;11601;3919;17.86;44;35.73;6710.490266;6325.442793;357.7691929;27.27828
KERALA;KOZHIKODE;370905;578870;204194;337679;39994;4352;5849411;4244659;538399;71525;3887388;33;343.5976111;138;125224;136206;186;0;28522;22609;5913;52.27;36;31.01;15367.84695;14584.54692;751.6237905;31.67624
KERALA;MALAPPURAM;418500;622864;145260;236168;61303;5635;3780920;2352700;848611;112144;2029502;34;339.1064737;282;68284;75718;202;0;30577;23655;6922;36.77;64;32.31;8891.360438;7978.158006;850.3435622;62.85887
KERALA;PALAKKAD;406338;548150;211576;302858;84689;21212;5588835;3265319;976619;418917;2902072;24;352.9835497;315;131263;144496;177;0;43507;33243;10264;38.99;65;32.23;12166.06395;11526.03892;603.6656361;36.3594
KERALA;THRISSUR;350343;425366;154634;201819;51771;2486;3551305;2170108;706515;44583;1964596;29;338.3026034;124;73201;77928;211;0;26149;21622;4527;27.06;57;45.21;7901.643633;7341.53186;527.4461731;32.6656
KERALA;ERNAKULAM;277724;400977;116052;180907;34680;3116;3239176;1958867;389949;48503;1757586;31;337.7519225;41;62464;67241;104;0;24472;19576;4896;34.19;47;37.21;7081.461269;6616.110951;449.1951079;16.15521
KERALA;IDUKKI;219159;379682;139821;256302;30114;24752;4028951;2781679;272498;430812;2048921;32;347.0288592;495;86818;112281;83;0;23442;18488;4954;25.71;33;47.23;10197.75052;9653.228901;480.140883;64.38074
KERALA;KOTTAYAM;205144;285992;95003;142017;20223;4658;2885398;1699935;239469;58637;1576317;32;337.1209326;85;52601;56612;32;0;19813;15512;4301;40.64;60;37.54;6285.758022;5730.836726;509.9465763;44.97472
KERALA;ALAPPUZHA;288107;456761;183503;311290;48032;1210;6472198;3950562;588361;19603;3672033;29;362.9523336;95;134864;145858;362;0;32525;23465;9060;9.95;37;66.12;15333.93951;14338.65697;963.3174923;31.96505
KERALA;PATHANAMTHITTA;161270;251467;70628;121756;35632;2109;2466044;1443024;420136;23325;1278653;32;335.9101524;59;44980;50012;91;0;15998;12208;3790;38.29;41;39.95;5414.173075;4847.264118;544.7626965;22.14626
KERALA;KOLLAM;419865;645480;213338;350028;62699;2295;5628445;3921500;764660;62686;3413327;31;348.2033959;271;125231;136355;287;0;29926;21858;8068;43.06;42;33.55;14247.99688;13654.79617;561.2925856;31.90812
KERALA;THIRUVANANTHAPURAM;434502;648085;239302;381630;62488;8500;7523450;5189856;871787;183607;4637067;32;335.5273777;346;158113;171068;180;0;38095;27105;10990;48.02;50;36.36;18184.18971;17413.38774;719.2503281;51.55164
LADAKH;KARGIL;20223;21519;19818;21113;0;21112;1340000;148926;0;148916;107881;18;249.3779125;2;7880;7889;6;3;12946;4559;8387;2.11;86;52.97;536.2545583;371.38855;133.2918683;31.57414
LADAKH;LEH (LADAKH);17485;30444;16421;29108;0;29108;1160000;121891;0;121891;71710;25;225.2373924;5;4733;5504;2;1;5030;3294;1736;7.52;30;63.92;717.6258834;274.54411;428.7575634;14.32421
LAKSHADWEEP;LAKSHADWEEP DISTRICT;8523;16560;217;484;0;481;10000;1816;0;1816;495;33;257.7973568;0;54;55;0;4;164;159;5;91.42;0;8.58;6.253106;4.6816;1.571506;0.0
MADHYA PRADESH;MORENA;242482;336675;187641;259577;38194;3433;8017712;4057206;559167;53912;1578642;40;213.9802488;325;99917;116998;254;3;9222;6796;2426;49.71;16;21.17;17635.96793;8681.619491;8634.766341;319.5821
MADHYA PRADESH;BHIND;155511;262609;81417;116247;21771;141;3459673;1738069;240843;1498;707127;41;209.0772775;315;41610;48622;109;0;11337;9186;2151;45.47;43;21.43;4467.335498;3633.907347;657.6735114;175.75464
MADHYA PRADESH;GWALIOR;100416;200075;51051;84892;16965;5742;1899452;828752;134907;36310;259035;36;220.9611202;101;22647;28002;143;0;10060;7946;2114;38.46;42;27.3;2787.496716;1831.219703;754.0003428;202.27667
MADHYA PRADESH;DATIA;73757;136095;43611;79729;21637;2409;1158620;462501;108504;8405;162360;30;217.8971653;10;15416;19967;80;0;6692;4885;1807;45.18;48;23.21;2247.286952;1007.776569;1088.611724;150.89866
MADHYA PRADESH;SHIVPURI;279788;521107;180051;325385;56879;47615;5756403;4117900;643789;500412;1547898;42;221.523205;476;97119;141648;461;0;28171;18511;9660;57.55;63;16.18;14004.75078;9122.104059;4459.921308;422.72541
MADHYA PRADESH;GUNA;204103;443884;127760;297338;34456;57455;3110669;822725;95185;136571;287491;31;218.2820266;78;26491;37879;137;1;23300;19345;3955;46.25;78;21.37;3822.637151;1795.860803;1801.880678;224.89567
MADHYA PRADESH;TIKAMGARH;127123;225714;95704;175178;29462;19251;2487383;1029967;155133;74774;376385;33;222.6309904;115;31070;45876;102;0;22764;16206;6558;41.94;66;24.48;4082.962644;2293.025733;1531.280762;258.65615
MADHYA PRADESH;CHHATARPUR;215933;422838;148047;301427;61974;18278;4182029;2170154;312517;139851;750623;40;217.1173353;675;53397;81991;472;0;29989;17217;12772;46.01;67;34.44;9214.140222;4711.780536;4021.706096;480.65359
MADHYA PRADESH;PANNA;152309;326438;118695;259987;52844;44357;3715768;1579759;276781;257357;626574;35;218.279948;178;45030;70390;267;1;20038;13008;7030;51.28;76;27.07;6692.250611;3448.297123;2936.055668;307.89782
MADHYA PRADESH;SAGAR;288381;496174;174825;306163;45103;41569;5686316;1799840;219520;210220;561272;30;218.9228184;120;59015;80904;260;33;42223;28302;13921;33.28;83;33.74;7656.106509;3940.260454;3233.186625;482.65943
MADHYA PRADESH;DAMOH;236464;407717;156020;278750;44835;41698;5706458;3249177;429925;478196;1216328;40;217.6629454;980;79823;112870;524;2;33016;22347;10669;64.96;75;18.67;13079.01368;7072.254359;5671.557385;335.20194
MADHYA PRADESH;SATNA;218398;407632;152629;292917;56538;61690;4892373;1729207;275428;342442;689732;33;205.0638256;135;52290;80718;287;0;25252;18140;7112;48.41;73;20.85;4782.317099;3545.978027;873.4387723;362.9003
MADHYA PRADESH;REWA;268433;505470;178877;336504;62209;56197;4704103;1493385;259650;230549;566944;29;211.1322969;107;50953;68313;218;4;48643;30648;17995;22.04;77;14.99;5857.028881;3153.018052;2310.168429;393.8424
MADHYA PRADESH;SHAHDOL;149077;300274;133293;276159;42711;147110;3694139;1526466;199833;849916;768716;27;199.6672676;208;56060;86698;1266;1;20701;13892;6809;59.09;70;17.79;5006.339799;3047.852953;1724.162906;234.32394
MADHYA PRADESH;SIDHI;166516;277395;136465;235981;36934;69005;4312249;2032311;267177;582465;879130;34;215.8413663;492;59483;90596;280;0;32947;22056;10891;44.65;71;18.33;7098.643477;4386.56783;2478.579688;233.49596
MADHYA PRADESH;MANDSAUR;159808;343840;99708;216622;42044;8464;3028412;1719738;289794;49203;622360;39;218.8701744;358;43145;75059;210;1;21248;14952;6296;42.95;76;29.59;5513.062636;3763.99356;1555.526776;193.5423
MADHYA PRADESH;RATLAM;186212;386334;117101;255010;69118;75778;3200624;1606709;357308;609947;651480;33;210.6800133;262;47519;75192;340;0;24933;15933;9000;40.31;84;33.72;4939.286945;3385.014735;1291.83638;262.43583
MADHYA PRADESH;UJJAIN;147423;348077;74412;175965;58309;12039;2151376;968856;315676;54576;325152;31;206.8088348;87;30450;46841;276;0;17682;9771;7911;38.41;70;19.66;3023.853831;2003.679804;676.3865563;343.78747
MADHYA PRADESH;SHAJAPUR;104184;180347;65720;115986;24236;12400;1630726;668707;112765;46073;231399;32;218.6816568;48;20348;29030;134;1;11011;7889;3122;33.98;66;30.33;2544.673847;1462.339547;920.7604003;161.5739
MADHYA PRADESH;DEWAS;162599;331791;110203;227413;42854;51260;3182525;1303214;196513;268497;435274;34;221.4754003;188;37423;54742;288;0;18747;12617;6130;38.1;69;28.07;4956.79681;2886.298423;1813.817806;256.68058
MADHYA PRADESH;JHABUA;212009;469293;174456;397177;18866;354128;4644957;1829304;78290;1636617;845738;31;207.3844464;245;58718;105113;1236;0;33382;26708;6674;56.54;76;22.51;6494.524636;3793.691973;2525.449263;175.3834
MADHYA PRADESH;DHAR;309817;658242;235084;507579;52815;346473;6488474;2002380;185382;1276247;816149;29;212.1718521;610;67834;109190;771;1;44216;32800;11416;45.88;75;20.8;13744.46746;4248.486732;9022.329448;473.65128
MADHYA PRADESH;INDORE;68034;134789;42601;87017;14152;19940;1133163;406593;50637;103049;132056;31;217.4091507;45;13099;18016;31;3;8939;7142;1797;37.12;65;29.47;1718.220218;883.9703881;630.24467;204.00516
MADHYA PRADESH;KHARGONE;273099;559587;190892;397633;47679;192589;6302051;2188933;181293;1216171;889279;32;219.1246748;733;68239;113573;459;0;30524;18183;12341;58.49;67;25.29;10426.52512;4796.492318;5218.821325;411.21148
MADHYA PRADESH;KHANDWA;195293;476219;150745;382089;30228;129839;3812522;1516819;123408;461400;667250;25;221.2707852;170;59539;106405;624;0;24568;16483;8085;51.27;67;19.29;7687.180965;3356.277311;4056.394694;274.50896
MADHYA PRADESH;RAJGARH;273706;529539;202122;405468;63793;11512;5582236;3771168;465409;88230;1564643;38;223.0559525;474;97919;159489;1006;0;47248;29001;18247;35.53;85;36.48;10798.49273;8411.814701;1974.394009;412.28402
MADHYA PRADESH;VIDISHA;212579;306099;137486;207076;36939;9739;3283594;1235539;177444;31516;417482;31;226.636216;94;39839;50948;167;0;24187;16280;7907;43.67;67;30.49;5091.311876;2800.178837;1995.112759;296.02028
MADHYA PRADESH;BHOPAL;63715;106456;41239;68561;11309;3738;1279343;686495;98705;18355;240777;40;221.1495638;21;16890;22593;114;0;8191;5894;2297;34.36;68;26.35;2510.168264;1518.180698;834.5896155;157.39795
MADHYA PRADESH;SEHORE;128718;239714;64095;122088;30122;20503;1663452;719580;153874;107698;250732;32;222.0194922;96;21924;32912;120;2;17333;10713;6620;30.44;71;26.51;2561.305771;1597.607862;710.5873289;253.11058
MADHYA PRADESH;RAISEN;143878;230393;78059;140728;25273;26352;2114963;784435;121838;145131;273309;28;221.8391421;80;27196;40491;147;0;23418;14165;9253;28.16;80;30.45;3138.070463;1740.183874;1156.534549;241.35204
MADHYA PRADESH;BETUL;216551;504317;177492;429112;61731;229265;4469996;1498158;190453;786353;750534;23;216.4017233;147;62642;93678;1407;2;24111;17276;6835;66.75;63;15.34;5717.707577;3242.03973;2152.183427;323.48442
MADHYA PRADESH;NARMADAPURAM;99211;193317;48879;105902;20720;35262;1061832;322711;54208;89703;110974;24;217.815689;17;13187;18642;140;2;14386;10540;3846;26.83;67;19.7;1280.561045;702.9151881;371.3429972;206.30286
MADHYA PRADESH;JABALPUR;151215;284956;104612;208322;42945;69454;2796762;880602;179683;301110;372600;23;210.4670619;18;37523;54446;422;0;20531;10118;10413;52.92;72;19.22;2791.656398;1853.377156;643.566792;294.71245
MADHYA PRADESH;NARSINGHPUR;146342;258235;91345;174149;30899;34050;2317547;830715;139988;155226;292557;29;216.6572661;73;28268;41595;99;1;22549;13649;8900;33.88;76;21.67;2942.165073;1799.804408;897.8889647;244.4717
MADHYA PRADESH;MANDLA;238359;514251;216029;470008;34405;272450;8696117;4033745;257365;2430290;2132420;28;204.1795851;348;140802;219230;3225;0;52808;26464;26344;46.9;84;31.04;11678.38831;8236.083805;3121.965649;320.33886
MADHYA PRADESH;CHHINDWARA;275934;649471;237416;566808;94881;282167;7943101;3904068;592243;2140831;2014786;30;211.4958128;528;128164;195415;3454;0;36274;23781;12493;55.74;77;24.15;12167.94694;8256.940347;3485.333805;425.67279
MADHYA PRADESH;SEONI;224455;531045;198018;480625;60126;223330;6685043;2767582;318943;1328603;1559474;27;201.4515917;183;101238;164275;2470;8;30873;19484;11389;49.38;70;25.45;8233.474768;5575.337991;2265.985136;392.15164
